Partlist

Exported from termoDaQ.brd

EAGLE Version 9.1.3 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value          Package                    Library                     Position (inch)       Orientation

C1       0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (0.8 2.8)             R0
C2       10uF           CPOL-RADIAL-2.5MM-5MM      SparkFun-Capacitors         (2.8 2.75)            R180
C3       10uF           CPOL-RADIAL-2.5MM-5MM      SparkFun-Capacitors         (1.6 2.6)             R90
C4       10uF           CPOL-RADIAL-2.5MM-5MM      SparkFun-Capacitors         (2.25 2.5)            R0
C5       22pF           CAP-PTH-2.54               SparkFun-Capacitors         (1.05 2.4)            R0
C6       22pF           CAP-PTH-2.54               SparkFun-Capacitors         (1.25 2.4)            R0
C7       0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (2.35 2.3)            R180
C8       0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (2.85 2.3)            R0
C9       0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (1.85 2.25)           R0
C10      0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (2.35 2.2)            R180
C11      0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (2.85 2.2)            R0
C12      10uF           CPOL-RADIAL-2.5MM-5MM      SparkFun-Capacitors         (0.2 2.15)            R0
C13      0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (2.6 2.05)            R0
C14      0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (0.4 1.95)            R90
C15      10uF           CPOL-RADIAL-2.5MM-5MM      SparkFun-Capacitors         (0.6 1.95)            R270
C16      0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (2.6 1.95)            R0
C17      10uF           CPOL-RADIAL-2.5MM-5MM      SparkFun-Capacitors         (0.2 1.9)             R0
C18      10uF           CPOL-RADIAL-2.5MM-5MM      SparkFun-Capacitors         (1.15 1.7)            R0
C19      0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (0.755 1.58)          R180
C20      0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (0.95 1.45)           R90
C21      0.1uF          CAP-PTH-SMALL-KIT          SparkFun-Capacitors         (1.05 1.45)           R270
